china_code,china_name,risk_pca,risk_rf,risk_ensemble
6031110,制漆配色调制工,0.779163425,0.779316858,0.779242078
6031111,溶剂制造工,0.779163425,0.779316858,0.779242078
6031112,化学试剂制造工,0.779163425,0.779316858,0.779242078
6031113,化工添加剂制造工,0.779163425,0.779316858,0.779242078
6031201,片基制造工,0.741948571,0.739127355,0.740502365
6031202,感光材料制造工,0.779163425,0.779316858,0.779242078
6031203,感光材料试验工,0.468301556,0.465439965,0.466834653
6031204,暗盒制造工,0.741948571,0.739127355,0.740502365
6031205,废片、白银回收工,0.779163425,0.779316858,0.779242078
6031206,磁粉制造工,0.741948571,0.739127355,0.740502365
6031207,磁记录材料制造工,0.741948571,0.739127355,0.740502365
6031208,磁记录材料试验工,0.468301556,0.465439965,0.466834653
6031209,感光鼓涂敷工,0.741948571,0.739127355,0.740502365
6031301,单基火药制造工,0.779163425,0.779316858,0.779242078
6031302,双基火药制造工,0.779163425,0.779316858,0.779242078
6031303,多基火药制造工,0.779163425,0.779316858,0.779242078
6031304,黑火药制造工,0.779163425,0.779316858,0.779242078
6031305,混合火药制造工,0.779163425,0.779316858,0.779242078
6031401,单质炸药制造工,0.779163425,0.779316858,0.779242078
6031402,混合炸药制造工,0.779163425,0.779316858,0.779242078
6031403,起爆药制造工,0.779163425,0.779316858,0.779242078
6031404,含水炸药制造工,0.779163425,0.779316858,0.779242078
6031501,松香工,0.779163425,0.779316858,0.779242078
6031502,松节油制品工,0.779163425,0.779316858,0.779242078
6031503,活性炭生产工,0.779163425,0.779316858,0.779242078
6031504,栲胶生产工,0.779163425,0.779316858,0.779242078
6031505,紫胶生产工,0.779163425,0.779316858,0.779242078
6031506,栓皮制品工,0.779163425,0.779316858,0.779242078
6031507,木材水解工,0.779163425,0.779316858,0.779242078
6031605,复合固体推进剂成型工,0.779163425,0.779316858,0.779242078
6031606,复合固体发动机装药工,0.779163425,0.779316858,0.779242078
6031702,甘油工,0.779163425,0.779316858,0.779242078
6031703,脂肪酸工,0.779163425,0.779316858,0.779242078
6031706,香料制造工,0.779163425,0.779316858,0.779242078
6031710,油墨制造工,0.779163425,0.779316858,0.779242078
6031711,制胶工,0.779163425,0.779316858,0.779242078
6039901,电子绝缘与介质材料制造工,0.741948571,0.739127355,0.740502365
6040101,车工,0.825731451,0.824775781,0.825241558
6040102,铣工,0.825731451,0.824775781,0.825241558
6040103,刨插工,0.825731451,0.824775781,0.825241558
6040104,磨工,0.825731451,0.824775781,0.825241558
6040105,镗工,0.825731451,0.824775781,0.825241558
6040106,钻床工,0.825731451,0.824775781,0.825241558
6040107,组合机床操作工,0.825731451,0.824775781,0.825241558
6040108,加工中心操作工,0.825731451,0.824775781,0.825241558
6040109,制齿工,0.825731451,0.824775781,0.825241558
6040110,螺丝纹挤形工,0.825731451,0.824775781,0.825241558
6040111,抛磨光工,0.64688642,0.648521876,0.647724784
6040112,拉床工,0.825731451,0.824775781,0.825241558
6040113,锯床工,0.825731451,0.824775781,0.825241558
6040114,刃具扭制工,0.683558164,0.685753533,0.68468355
6040115,弹性元件制造工,0.683558164,0.685753533,0.68468355
6040201,铸造工,0.870359164,0.880216363,0.875412142
6040202,锻造工,0.870359164,0.880216363,0.875412142
6040203,冲压工,0.870359164,0.880216363,0.875412142
6040204,剪切工,0.833587396,0.84424568,0.839051025
6040205,焊工,0.722399267,0.724693698,0.723575434
6040206,金属热处理工,0.777245669,0.782795088,0.780090401
6040207,粉末冶金制造工,0.870359164,0.880216363,0.875412142
6040301,电切削工,0.825731451,0.824775781,0.825241558
6040401,冷作钣金工,0.833587396,0.84424568,0.839051025
6040501,镀层工,0.64688642,0.648521876,0.647724784
6040502,涂装工,0.64688642,0.648521876,0.647724784
6040601,磨料制造工,0.792325566,0.793767407,0.79306468
6040602,磨具制造工,0.683558164,0.685753533,0.68468355
6040701,金属软管、波纹管工,0.833587396,0.84424568,0.839051025
6040702,卫星光学冷加工工,0.825731451,0.824775781,0.825241558
6040703,航天器件高温处理工,0.777245669,0.782795088,0.780090401
6049901,电焊条制造工,0.722399267,0.724693698,0.723575434
6049902,仪器仪表元件制造工,0.741948571,0.739127355,0.740502365
6049903,真空干燥处理工,0.735849535,0.738818843,0.737371656
6050101,基础件装配工,0.734954122,0.747661599,0.741468204
6050102,部件装配工,0.734954122,0.747661599,0.741468204
6050199,其他基础件、部件装配人员,0.765517969,0.779418817,0.772643795
6050201,装配钳工,0.734954122,0.747661599,0.741468204
6050202,工具钳工,0.683558164,0.685753533,0.68468355
6050299,其他机械设备装配人员,0.765517969,0.779418817,0.772643795
6050301,汽轮机装配工,0.734954122,0.747661599,0.741468204
6050302,内燃机装配工,0.734954122,0.747661599,0.741468204
6050303,锅炉设备装配工,0.734954122,0.747661599,0.741468204
6050304,电机装配工,0.734954122,0.747661599,0.741468204
6050399,其他动力设备装配人员,0.765517969,0.779418817,0.772643795
6050401,铁心叠装工,0.734954122,0.747661599,0.741468204
6050402,绝缘制品件装配工,0.734954122,0.747661599,0.741468204
6050403,线圈绕制工,0.734954122,0.747661599,0.741468204
6050404,绝缘处理浸渍工,0.64688642,0.648521876,0.647724784
6050405,变压器、互感器装配工,0.734954122,0.747661599,0.741468204
6050406,高低压电器装配工,0.734954122,0.747661599,0.741468204
6050407,电焊机装配工,0.734954122,0.747661599,0.741468204
6050408,电炉装配工,0.734954122,0.747661599,0.741468204
6050409,电线电缆制造工,0.876018492,0.897906997,0.887238935
6050499,其他电气元件及设备装配人员,0.765517969,0.779418817,0.772643795
6050501,电子专用设备装调工,0.734954122,0.747661599,0.741468204
