province,industry,year,employment,exposure
上海,卫生和社会工作,2019,28.4,0.3910500687036733
上海,文化、体育和娱乐业,2019,7.5,0.49574940735891965
上海,公共管理、社会保障和社会组织,2019,29.8,0.2793208238428194
上海,农林牧渔业,2018,3.1,0.46712666401014213
上海,采矿业,2018,0.1,0.5125208943995355
上海,制造业,2018,161.7,0.6847175650925181
上海,电力、热力、燃气及水生产和供应业,2018,4.0,0.5801516371950981
上海,建筑业,2018,30.5,0.6347082232359608
上海,交通运输、仓储和邮政业,2018,50.6,0.5359857648246004
上海,信息传输、软件和信息技术服务业,2018,35.6,0.30552326914336103
上海,批发和零售业,2018,84.5,0.41448412652779204
上海,住宿和餐饮业,2018,30.5,0.7053722687093864
上海,金融业,2018,33.4,0.2464877853992743
上海,房地产业,2018,26.6,0.29801142930015084
上海,租赁和商务服务业,2018,57.9,0.47578153570443577
上海,科学研究和技术服务业,2018,26.9,0.3957922605974184
上海,水利、环境和公共设施管理业,2018,9.3,0.5811363001515862
上海,居民服务、修理和其他服务业,2018,7.1,0.6329928585763148
上海,教育业,2018,31.9,0.3110199808341884
上海,卫生和社会工作,2018,19.4,0.3910500687036733
上海,文化、体育和娱乐业,2018,5.9,0.49574940735891965
上海,公共管理、社会保障和社会组织,2018,21.9,0.2793208238428194
上海,农林牧渔业,2017,2.8,0.46712666401014213
上海,采矿业,2017,0.1,0.5125208943995355
上海,制造业,2017,172.1,0.6847175650925181
上海,电力、热力、燃气及水生产和供应业,2017,4.1,0.5801516371950981
上海,建筑业,2017,31.3,0.6347082232359608
上海,交通运输、仓储和邮政业,2017,51.1,0.5359857648246004
上海,信息传输、软件和信息技术服务业,2017,30.7,0.30552326914336103
上海,批发和零售业,2017,80.1,0.41448412652779204
上海,住宿和餐饮业,2017,25.5,0.7053722687093864
上海,金融业,2017,34.2,0.2464877853992743
上海,房地产业,2017,26.7,0.29801142930015084
上海,租赁和商务服务业,2017,55.4,0.47578153570443577
上海,科学研究和技术服务业,2017,24.6,0.3957922605974184
上海,水利、环境和公共设施管理业,2017,8.7,0.5811363001515862
上海,居民服务、修理和其他服务业,2017,7.5,0.6329928585763148
上海,教育业,2017,30.8,0.3110199808341884
上海,卫生和社会工作,2017,19.1,0.3910500687036733
上海,文化、体育和娱乐业,2017,6.4,0.49574940735891965
上海,公共管理、社会保障和社会组织,2017,21.2,0.2793208238428194
上海,农林牧渔业,2016,2.5,0.46712666401014213
上海,采矿业,2016,0.1,0.5125208943995355
上海,制造业,2016,181.0,0.6847175650925181
上海,电力、热力、燃气及水生产和供应业,2016,4.4,0.5801516371950981
上海,建筑业,2016,32.9,0.6347082232359608
上海,交通运输、仓储和邮政业,2016,51.1,0.5359857648246004
上海,信息传输、软件和信息技术服务业,2016,26.8,0.30552326914336103
上海,批发和零售业,2016,78.4,0.41448412652779204
上海,住宿和餐饮业,2016,24.3,0.7053722687093864
上海,金融业,2016,35.5,0.2464877853992743
上海,房地产业,2016,25.4,0.29801142930015084
上海,租赁和商务服务业,2016,52.2,0.47578153570443577
上海,科学研究和技术服务业,2016,23.2,0.3957922605974184
上海,水利、环境和公共设施管理业,2016,8.6,0.5811363001515862
上海,居民服务、修理和其他服务业,2016,6.3,0.6329928585763148
上海,教育业,2016,29.7,0.3110199808341884
上海,卫生和社会工作,2016,18.9,0.3910500687036733
上海,文化、体育和娱乐业,2016,6.0,0.49574940735891965
上海,公共管理、社会保障和社会组织,2016,20.5,0.2793208238428194
上海,农林牧渔业,2015,2.5,0.46712666401014213
上海,采矿业,2015,0.1,0.5125208943995355
上海,制造业,2015,192.9,0.6847175650925181
上海,电力、热力、燃气及水生产和供应业,2015,4.3,0.5801516371950981
上海,建筑业,2015,35.1,0.6347082232359608
上海,交通运输、仓储和邮政业,2015,51.5,0.5359857648246004
上海,信息传输、软件和信息技术服务业,2015,25.4,0.30552326914336103
上海,批发和零售业,2015,78.2,0.41448412652779204
上海,住宿和餐饮业,2015,24.0,0.7053722687093864
上海,金融业,2015,33.7,0.2464877853992743
上海,房地产业,2015,26.2,0.29801142930015084
上海,租赁和商务服务业,2015,52.0,0.47578153570443577
上海,科学研究和技术服务业,2015,22.5,0.3957922605974184
上海,水利、环境和公共设施管理业,2015,8.3,0.5811363001515862
上海,居民服务、修理和其他服务业,2015,6.5,0.6329928585763148
上海,教育业,2015,29.1,0.3110199808341884
上海,卫生和社会工作,2015,18.9,0.3910500687036733
